Unnamed: 0,あいぽんた,ちさと,ねこ,ふみのり,ぱく,まりえ,ともみ,まさや,おかゆ,ぷり,えりか,あんな,ひくるま,おのけん,がみ
"通報された死体
Bodies Reported",143,33,39,19,27,24,60,18,22,4,35,116,15,15,37
"開いた緊急会議
Emergencies Called",163,64,35,31,68,58,102,9,26,2,41,87,16,24,36
"完了したタスク
Task Completed",2475,945,751,166,578,1006,1414,452,476,94,1114,1372,176,246,1067
"全タスク完了
All Task Completed",199,108,44,9,36,80,151,40,32,5,117,96,2,10,82
"解決したサボタージュ
Sabotages Fixed",595,224,158,67,232,220,295,97,187,15,191,285,38,95,245
"インポスターによる殺害
Impostor Kills",282,105,45,41,68,71,155,23,45,13,85,152,26,35,102
"殺害された回数
Times Murdered",210,74,65,18,56,70,123,35,50,11,99,116,36,36,86
"追放された回数
Times Ejected",77,33,18,14,16,34,59,16,11,4,42,20,10,26,27
"連続でクルーになった回数
Crewmate Streak",9,8,3,0,1,9,0,1,2,4,1,2,11,0,1
"インポスターになった回数
Times Impostor",150,61,29,20,33,36,91,14,26,8,53,70,16,22,50
"クルーになった回数
Times Crewmate",531,202,147,40,125,190,285,80,93,22,210,309,62,81,195
"開始したゲーム
Games Started",681,263,176,50,158,226,376,94,119,30,263,379,78,103,245
"終了したゲーム
Games Finished",676,258,172,58,155,222,367,89,117,29,250,233,77,97,240
"インポスターでの投票勝利
Imposter Vote Wins",21,7,1,1,1,0,22,3,2,0,4,7,0,1,2
"インポスターでの殺害勝利
Impostor Kill Wins",48,21,7,5,16,7,24,2,10,1,17,19,6,3,20
"インポスターでのサボタージュ勝利
Impostor Sabotage Wins",5,3,6,0,1,8,3,3,2,4,4,2,1,2,1
"クルーでの投票勝利
Crewmate Vote Wins",246,75,77,21,61,99,137,42,51,13,61,88,28,43,100
"クルーでのタスク勝利
Crewmate Task Wins",78,38,15,2,10,22,43,12,6,0,43,24,1,3,21
